letter	frequency	color
Bijlmer-Oost	1656	"green"
Bijlmer-Centrum	1718	"green"
Gaasperdam/Driemond	1848	"green"
Noord-Oost	2119	"orange"
Osdorp	2127	"green"
Geuzenveld/Slotermeer	2179	"red"
Noord-West	2220	"red"
Slotervaart	2246	"red"
De Aker/Nieuw Sloten	2391	"red"
Oud-Noord	2562	"red"
IJburg/Zeeburgereiland	2755	"red"
Buitenveldert/Zuidas	2852	"blue"
BOLO	2881	"blue"
Indische Buurt/Oostelijk Havengebied	3098	"blue"
Oud-Oost	3272	"blue"
Watergraafsmeer	3293	"blue"
Oud-West/ De Baarsjes	3570	"blue"
Westerpark	3617	"blue"
Pijp	3813	"blue"
Centrum-Oost	3897	"blue"
Oud-Zuid	4027	"blue"
Centrum-West	4194	"blue"
