letter	frequency	color
Centrum-West	4194	"red"
Centrum-Oost	3897	"red"
Westerpark	3617	"red"
Bos en Lommer	2881	"orange"
Oud-West/De Baarsjes	3570	"red"
Geuzenveld/Slotermeer	2179	"orange"
Osdorp	2127	"orange"
De Aker/Nieuw Sloten	2391	"orange"
Slotervaart	2246	"orange"
Oud-Zuid	4027	"red"
Buitenveldert/Zuidas	2852	"orange"
De Pijp/Rivierenbuurt	3813	"red"
Oud-Oost	3272	"red"
Indische Buurt/Oostelijk Havengebied	3098	"red"
Watergraafsmeer	3293	"red"
IJburg/Zeeburgereiland	2755	"orange"
Noord-West	2220	"orange"
Oud-Noord	2562	"orange"
Noord-Oost	2119	"orange"
Bijlmer-Centrum	1718	"green"
Bijlmer-Oost	1656	"green"
Gaasperdam/Driemond	1848	"green"
Westpoort	1854	"green"
